,*,1,2,3,4,5,**,wb,eta,pot_elec
153,[,0.6593,0.6593,0.6593,0.6593,0.6593,],1.21263,0.568548,-2.52256
154,[,0.65904,0.65904,0.65904,0.65904,0.65904,],1.22123,0.561822,-2.50978
155,[,0.65879,0.65879,0.65879,0.65879,0.65879,],1.23072,0.554381,-2.49567
156,[,0.65855,0.65855,0.65855,0.65855,0.65855,],1.24117,0.546163,-2.48011
157,[,0.65831,0.65831,0.65831,0.65831,0.65831,],1.25266,0.5371,-2.46294
158,[,0.65809,0.65809,0.65809,0.65809,0.65809,],1.26527,0.527124,-2.44403
159,[,0.65787,0.65787,0.65787,0.65787,0.65787,],1.27908,0.516165,-2.42319
160,[,0.65764,0.65764,0.65764,0.65764,0.65764,],1.29415,0.504155,-2.40025
161,[,0.65738,0.65738,0.65738,0.65738,0.65738,],1.31054,0.491044,-2.37502
162,[,0.65702,0.65702,0.65702,0.65702,0.65702,],1.32824,0.476828,-2.34727
163,[,0.65638,0.65638,0.65638,0.65638,0.65638,],1.34707,0.461637,-2.3168
164,[,0.65501,0.65501,0.65501,0.65501,0.65501,],1.3664,0.445964,-2.28335
165,[,0.65167,0.65167,0.65167,0.65167,0.65167,],1.38444,0.431283,-2.24669
166,[,0.64304,0.64304,0.64304,0.64304,0.64304,],1.39616,0.421713,-2.20653
167,[,0.62044,0.62044,0.62044,0.62044,0.62044,],1.38823,0.428191,-2.16261
168,[,0.56405,0.56405,0.56405,0.56405,0.56405,],1.32836,0.476725,-2.11467
169,[,0.44425,0.44425,0.44425,0.44425,0.44425,],1.15618,0.612277,-2.06248
170,[,0.27018,0.27018,0.27018,0.27018,0.27018,],0.819069,0.856553,-2.00594
171,[,0.16466,0.16466,0.16466,0.16466,0.16466,],0.36637,1.12352,-1.94527
172,[,0.2605,0.2605,0.2605,0.2605,0.2605,],-0.0695574,1.28074,-1.88116
173,[,0.52755,0.52755,0.52755,0.52755,0.52755,],-0.405238,1.30179,-1.81485
174,[,0.83758,0.83758,0.83758,0.83758,0.83758,],-0.633102,1.24729,-1.74775
175,[,1.0976,1.0976,1.0976,1.0976,1.0976,],-0.777728,1.1763,-1.68114
176,[,1.2796,1.2796,1.2796,1.2796,1.2796,],-0.866353,1.11653,-1.61592
177,[,1.3928,1.3928,1.3928,1.3928,1.3928,],-0.919721,1.07399,-1.55268
178,[,1.4562,1.4562,1.4562,1.4562,1.4562,],-0.951625,1.04607,-1.49171
179,[,1.487,1.487,1.487,1.487,1.487,],-0.970674,1.02847,-1.43314
180,[,1.4977,1.4977,1.4977,1.4977,1.4977,],-0.982076,1.0176,-1.37699
181,[,1.4963,1.4963,1.4963,1.4963,1.4963,],-0.988936,1.01094,-1.3232
182,[,1.4881,1.4881,1.4881,1.4881,1.4881,],-0.993091,1.00686,-1.27171
183,[,1.4759,1.4759,1.4759,1.4759,1.4759,],-0.995629,1.00435,-1.22242
184,[,1.4617,1.4617,1.4617,1.4617,1.4617,],-0.997194,1.0028,-1.17522
185,[,1.4465,1.4465,1.4465,1.4465,1.4465,],-0.99817,1.00183,-1.13002
186,[,1.431,1.431,1.431,1.431,1.431,],-0.998785,1.00121,-1.08671
187,[,1.4156,1.4156,1.4156,1.4156,1.4156,],-0.999178,1.00082,-1.04521
188,[,1.4005,1.4005,1.4005,1.4005,1.4005,],-0.999434,1.00057,-1.00542
189,[,1.3857,1.3857,1.3857,1.3857,1.3857,],-0.999602,1.0004,-0.96726
190,[,1.3714,1.3714,1.3714,1.3714,1.3714,],-0.999715,1.00029,-0.930653
191,[,1.3576,1.3576,1.3576,1.3576,1.3576,],-0.999792,1.00021,-0.895524
192,[,1.3443,1.3443,1.3443,1.3443,1.3443,],-0.999845,1.00016,-0.861803
193,[,1.3314,1.3314,1.3314,1.3314,1.3314,],-0.999883,1.00012,-0.829425
194,[,1.3191,1.3191,1.3191,1.3191,1.3191,],-0.99991,1.00009,-0.798329
195,[,1.3072,1.3072,1.3072,1.3072,1.3072,],-0.99993,1.00007,-0.768457
196,[,1.2957,1.2957,1.2957,1.2957,1.2957,],-0.999945,1.00006,-0.739755
197,[,1.2847,1.2847,1.2847,1.2847,1.2847,],-0.999957,1.00004,-0.71217
198,[,1.2742,1.2742,1.2742,1.2742,1.2742,],-0.999965,1.00004,-0.685656
199,[,1.264,1.264,1.264,1.264,1.264,],-0.999972,1.00003,-0.660165
200,[,1.2542,1.2542,1.2542,1.2542,1.2542,],-0.999978,1.00002,-0.635654
201,[,1.2448,1.2448,1.2448,1.2448,1.2448,],-0.999982,1.00002,-0.612083
202,[,1.2357,1.2357,1.2357,1.2357,1.2357,],-0.999985,1.00002,-0.589412
203,[,1.227,1.227,1.227,1.227,1.227,],-0.999988,1.00001,-0.567603
204,[,1.2186,1.2186,1.2186,1.2186,1.2186,],-0.99999,1.00001,-0.546622
205,[,1.2105,1.2105,1.2105,1.2105,1.2105,],-0.999992,1.00001,-0.526435
206,[,1.2028,1.2028,1.2028,1.2028,1.2028,],-0.999993,1.00001,-0.50701
207,[,1.1953,1.1953,1.1953,1.1953,1.1953,],-0.999994,1.00001,-0.488316
