[	4.18490e-01	]	-5.43993e-03	7.61577e-01	-2.10343e+00
[	4.18990e-01	]	-1.17302e-02	7.65066e-01	-2.10684e+00
[	4.19400e-01	]	-1.78471e-02	7.68442e-01	-2.10982e+00
[	4.19730e-01	]	-2.37473e-02	7.71683e-01	-2.11241e+00
[	4.19990e-01	]	-2.94018e-02	7.74774e-01	-2.11467e+00
[	4.20190e-01	]	-3.47922e-02	7.77707e-01	-2.11660e+00
[	4.20340e-01	]	-3.99086e-02	7.80479e-01	-2.11826e+00
[	4.20450e-01	]	-4.47473e-02	7.83089e-01	-2.11967e+00
[	4.20520e-01	]	-4.93092e-02	7.85540e-01	-2.12084e+00
[	4.20560e-01	]	-5.35993e-02	7.87837e-01	-2.12181e+00
[	4.20570e-01	]	-5.76247e-02	7.89983e-01	-2.12261e+00
[	4.20550e-01	]	-6.13950e-02	7.91987e-01	-2.12323e+00
[	4.20510e-01	]	-6.49209e-02	7.93855e-01	-2.12372e+00
[	4.20450e-01	]	-6.82143e-02	7.95595e-01	-2.12407e+00
[	4.20370e-01	]	-7.12877e-02	7.97213e-01	-2.12431e+00
[	4.20280e-01	]	-7.41538e-02	7.98719e-01	-2.12445e+00
[	4.20170e-01	]	-7.68259e-02	8.00119e-01	-2.12451e+00
[	4.20040e-01	]	-7.93167e-02	8.01421e-01	-2.12448e+00
[	4.19910e-01	]	-8.16392e-02	8.02632e-01	-2.12438e+00
[	4.19770e-01	]	-8.38058e-02	8.03759e-01	-2.12422e+00
[	4.19610e-01	]	-8.58289e-02	8.04810e-01	-2.12401e+00
[	4.19450e-01	]	-8.77200e-02	8.05791e-01	-2.12375e+00
[	4.19280e-01	]	-8.94904e-02	8.06707e-01	-2.12345e+00
[	4.19110e-01	]	-9.11510e-02	8.07566e-01	-2.12312e+00
[	4.18930e-01	]	-9.27118e-02	8.08371e-01	-2.12275e+00
[	4.18750e-01	]	-9.41825e-02	8.09129e-01	-2.12235e+00
[	4.18560e-01	]	-9.55722e-02	8.09844e-01	-2.12193e+00
[	4.18370e-01	]	-9.68893e-02	8.10521e-01	-2.12149e+00
